iteration,keepPower,keepPowerReadback
336,0,0
336,1,1
338,0,0
338,1,1
340,0,0
340,1,1
342,0,0
342,1,1
344,0,0
344,1,1
346,0,0
346,1,1
348,0,0
348,1,1
350,0,0
350,1,1
352,0,0
352,1,1
354,0,0
354,1,1
356,0,0
356,1,1
358,0,0
358,1,1
360,0,0
360,1,1
362,0,0
362,1,1
364,0,0
364,1,1
366,0,0
366,1,1
368,0,0
368,1,1
370,0,0
370,1,1
372,0,0
372,1,1
374,0,0
374,1,1
376,0,0
376,1,1
378,0,0
378,1,1
380,0,0
380,1,1
382,0,0
382,1,1
384,0,0
384,1,1
386,0,0
386,1,1
388,0,0
388,1,1
390,0,0
390,1,1
392,0,0
392,1,1
394,0,0
394,1,1
396,0,0
396,1,1
398,0,0
398,1,1
400,0,0
400,1,1
402,0,0
402,1,1
404,0,0
404,1,1
406,0,0
406,1,1
408,0,0
408,1,1
410,0,0
410,1,1
412,0,0
412,1,1
414,0,0
414,1,1
416,0,0
416,1,1
418,0,0
418,1,1
420,0,0
420,1,1
422,0,0
422,1,1
424,0,0
424,1,1
426,0,0
426,1,1
428,0,0
428,1,1
430,0,0
430,1,1
432,0,0
432,1,1
434,0,0
434,1,1
436,0,0
436,1,1
438,0,0
438,1,1
440,0,0
440,1,1
442,0,0
442,1,1
444,0,0
444,1,1
446,0,0
446,1,1
448,0,0
448,1,1
450,0,0
450,1,1
452,0,0
452,1,1
454,0,0
454,1,1
456,0,0
456,1,1
458,0,0
458,1,1
460,0,0
460,1,1
462,0,0
462,1,1
464,0,0
464,1,1
466,0,0
466,1,1
468,0,0
468,1,1
470,0,0
470,1,1
472,0,0
472,1,1
474,0,0
474,1,1
476,0,0
476,1,1
478,0,0
478,1,1
480,0,0
480,1,1
482,0,0
482,1,1
484,0,0
484,1,1
486,0,0
486,1,1
488,0,0
488,1,1
490,0,0
490,1,1
492,0,0
492,1,1
494,0,0
494,1,1
496,0,0
496,1,1
498,0,0
498,1,1
500,0,0
500,1,1
502,0,0
502,1,1
504,0,0
504,1,1
506,0,0
506,1,1
508,0,0
508,1,1
510,0,0
510,1,1
512,0,0
512,1,1
514,0,0
514,1,1
516,0,0
516,1,1
518,0,0
518,1,1
520,0,0
520,1,1
522,0,0
522,1,1
524,0,0
524,1,1
526,0,0
526,1,1
528,0,0
528,1,1
530,0,0
530,1,1
532,0,0
532,1,1
534,0,0
534,1,1
536,0,0
536,1,1
538,0,0
538,1,1
540,0,0
540,1,1
542,0,0
542,1,1
544,0,0
544,1,1
546,0,0
546,1,1
548,0,0
548,1,1
550,0,0
550,1,1
552,0,0
552,1,1
554,0,0
554,1,1
556,0,0
556,1,1
558,0,0
558,1,1
560,0,0
560,1,1
562,0,0
562,1,1
564,0,0
564,1,1
566,0,0
566,1,1
568,0,0
568,1,1
570,0,0
570,1,1
572,0,0
572,1,1
574,0,0
574,1,1
576,0,0
576,1,1
578,0,0
578,1,1
580,0,0
580,1,1
582,0,0
582,1,1
584,0,0
584,1,1
586,0,0
586,1,1
588,0,0
588,1,1
590,0,0
590,1,1
592,0,0
592,1,1
594,0,0
594,1,1
596,0,0
596,1,1
598,0,0
598,1,1
600,0,0
600,1,1
602,0,0
602,1,1
604,0,0
604,1,1
606,0,0
606,1,1
608,0,0
608,1,1
610,0,0
610,1,1
612,0,0
612,1,1
614,0,0
614,1,1
616,0,0
616,1,1
618,0,0
618,1,1
620,0,0
620,1,1
622,0,0
622,1,1
624,0,0
624,1,1
626,0,0
626,1,1
628,0,0
628,1,1
630,0,0
630,1,1
632,0,0
632,1,1
634,0,0
634,1,1
636,0,0
636,1,1
638,0,0
638,1,1
640,0,0
640,1,1
642,0,0
642,1,1
644,0,0
644,1,1
646,0,0
646,1,1
648,0,0
648,1,1
650,0,0
650,1,1
652,0,0
652,1,1
654,0,0
654,1,1
656,0,0
656,1,1
658,0,0
658,1,1
660,0,0
660,1,1
662,0,0
662,1,1
664,0,0
664,1,1
666,0,0
666,1,1
668,0,0
668,1,1
670,0,0
670,1,1
672,0,0
672,1,1
674,0,0
674,1,1
676,0,0
676,1,1
678,0,0
678,1,1
680,0,0
680,1,1
682,0,0
682,1,1
684,0,0
684,1,1
686,0,0
686,1,1
688,0,0
688,1,1
690,0,0
690,1,1
692,0,0
692,1,1
694,0,0
694,1,1
696,0,0
696,1,1
698,0,0
698,1,1
700,0,0
700,1,1
702,0,0
702,1,1
704,0,0
704,1,1
706,0,0
706,1,1
708,0,0
708,1,1
710,0,0
710,1,1
712,0,0
712,1,1
714,0,0
714,1,1
716,0,0
716,1,1
718,0,0
718,1,1
720,0,0
720,1,1
722,0,0
722,1,1
724,0,0
724,1,1
726,0,0
726,1,1
728,0,0
728,1,1
730,0,0
730,1,1
732,0,0
732,1,1
734,0,0
734,1,1
736,0,0
736,1,1
738,0,0
738,1,1
740,0,0
740,1,1
742,0,0
742,1,1
744,0,0
744,1,1
746,0,0
746,1,1
748,0,0
748,1,1
750,0,0
750,1,1
752,0,0
752,1,1
754,0,0
754,1,1
756,0,0
756,1,1
758,0,0
758,1,1
760,0,0
760,1,1
762,0,0
762,1,1
764,0,0
764,1,1
766,0,0
766,1,1
768,0,0
768,1,1
770,0,0
770,1,1
772,0,0
772,1,1
774,0,0
774,1,1
776,0,0
776,1,1
778,0,0
778,1,1
780,0,0
780,1,1
782,0,0
782,1,1
784,0,0
784,1,1
786,0,0
786,1,1
788,0,0
788,1,1
790,0,0
790,1,1
792,0,0
792,1,1
794,0,0
794,1,1
796,0,0
796,1,1
798,0,0
798,1,1
800,0,0
800,1,1
802,0,0
802,1,1
804,0,0
804,1,1
806,0,0
806,1,1
808,0,0
808,1,1
810,0,0
810,1,1
812,0,0
812,1,1
814,0,0
814,1,1
816,0,0
816,1,1
818,0,0
818,1,1
820,0,0
820,1,1
822,0,0
822,1,1
824,0,0
824,1,1
826,0,0
826,1,1
828,0,0
828,1,1
830,0,0
830,1,1
832,0,0
832,1,1
834,0,0
834,1,1
836,0,0
836,1,1
838,0,0
838,1,1
840,0,0
840,1,1
842,0,0
842,1,1
844,0,0
844,1,1
846,0,0
846,1,1
848,0,0
848,1,1
850,0,0
850,1,1
852,0,0
852,1,1
854,0,0
854,1,1
856,0,0
856,1,1
858,0,0
858,1,1
860,0,0
860,1,1
862,0,0
862,1,1
864,0,0
864,1,1
866,0,0
866,1,1
868,0,0
868,1,1
870,0,0
870,1,1
872,0,0
872,1,1
874,0,0
874,1,1
876,0,0
876,1,1
878,0,0
878,1,1
880,0,0
880,1,1
882,0,0
882,1,1
884,0,0
884,1,1
886,0,0
886,1,1
888,0,0
888,1,1
890,0,0
890,1,1
892,0,0
892,1,1
894,0,0
894,1,1
896,0,0
896,1,1
898,0,0
898,1,1
900,0,0
900,1,1
902,0,0
902,1,1
904,0,0
904,1,1
906,0,0
906,1,1
908,0,0
908,1,1
910,0,0
910,1,1
912,0,0
912,1,1
914,0,0
914,1,1
916,0,0
916,1,1
918,0,0
918,1,1
920,0,0
920,1,1
922,0,0
922,1,1
924,0,0
924,1,1
926,0,0
926,1,1
928,0,0
928,1,1
930,0,0
930,1,1
932,0,0
932,1,1
934,0,0
934,1,1
936,0,0
936,1,1
938,0,0
938,1,1
940,0,0
940,1,1
942,0,0
942,1,1
944,0,0
944,1,1
946,0,0
946,1,1
948,0,0
948,1,1
950,0,0
950,1,1
952,0,0
952,1,1
954,0,0
954,1,1
956,0,0
956,1,1
958,0,0
958,1,1
960,0,0
960,1,1
962,0,0
962,1,1
964,0,0
964,1,1
966,0,0
966,1,1
968,0,0
968,1,1
970,0,0
970,1,1
972,0,0
972,1,1
974,0,0
974,1,1
976,0,0
976,1,1
978,0,0
978,1,1
980,0,0
980,1,1
982,0,0
982,1,1
984,0,0
984,1,1
986,0,0
986,1,1
988,0,0
988,1,1
990,0,0
990,1,1
992,0,0
992,1,1
994,0,0
994,1,1
996,0,0
996,1,1
998,0,0
998,1,1
1000,0,0
1000,1,1
1002,0,0
1002,1,1
1004,0,0
1004,1,1
1006,0,0
1006,1,1
1008,0,0
1008,1,1
1010,0,0
1010,1,1
1012,0,0
1012,1,1
1014,0,0
1014,1,1
1016,0,0
1016,1,1
1018,0,0
1018,1,1
1020,0,0
1020,1,1
1022,0,0
1022,1,1
1024,0,0
1024,1,1
1026,0,0
1026,1,1
1028,0,0
1028,1,1
1030,0,0
1030,1,1
1032,0,0
1032,1,1
1034,0,0
1034,1,1
1036,0,0
1036,1,1
1038,0,0
1038,1,1
1040,0,0
1040,1,1
1042,0,0
1042,1,1
1044,0,0
1044,1,1
1046,0,0
1046,1,1
1048,0,0
1048,1,1
1050,0,0
1050,1,1
1052,0,0
1052,1,1
1054,0,0
1054,1,1
1056,0,0
1056,1,1
1058,0,0
1058,1,1
1060,0,0
1060,1,1
1062,0,0
1062,1,1
1064,0,0
1064,1,1
1066,0,0
1066,1,1
1068,0,0
1068,1,1
1070,0,0
1070,1,1
1072,0,0
1072,1,1
1074,0,0
1074,1,1
1076,0,0
1076,1,1
1078,0,0
1078,1,1
1080,0,0
1080,1,1
1082,0,0
1082,1,1
1084,0,0
1084,1,1
1086,0,0
1086,1,1
1088,0,0
1088,1,1
1090,0,0
1090,1,1
1092,0,0
1092,1,1
1094,0,0
1094,1,1
1096,0,0
1096,1,1
1098,0,0
1098,1,1
1100,0,0
1100,1,1
1102,0,0
1102,1,1
1104,0,0
1104,1,1
1106,0,0
1106,1,1
1108,0,0
1108,1,1
1110,0,0
1110,1,1
1112,0,0
1112,1,1
1114,0,0
1114,1,1
1116,0,0
1116,1,1
1118,0,0
1118,1,1
1120,0,0
1120,1,1
1122,0,0
1122,1,1
1124,0,0
1124,1,1
1126,0,0
1126,1,1
1128,0,0
1128,1,1
1130,0,0
1130,1,1
1132,0,0
1132,1,1
1134,0,0
1134,1,1
1136,0,0
1136,1,1
1138,0,0
1138,1,1
1140,0,0
1140,1,1
1142,0,0
1142,1,1
1144,0,0
1144,1,1
1146,0,0
1146,1,1
1148,0,0
1148,1,1
1150,0,0
1150,1,1
1152,0,0
1152,1,1
1154,0,0
1154,1,1
1156,0,0
1156,1,1
1158,0,0
1158,1,1
1160,0,0
1160,1,1
1162,0,0
1162,1,1
1164,0,0
1164,1,1
1166,0,0
1166,1,1
1168,0,0
1168,1,1
1170,0,0
1170,1,1
1172,0,0
1172,1,1
1174,0,0
1174,1,1
1176,0,0
1176,1,1
1178,0,0
1178,1,1
1180,0,0
1180,1,1
1182,0,0
1182,1,1
1184,0,0
1184,1,1
1186,0,0
1186,1,1
1188,0,0
1188,1,1
1190,0,0
1190,1,1
1192,0,0
1192,1,1
1194,0,0
1194,1,1
1196,0,0
1196,1,1
1198,0,0
1198,1,1
1200,0,0
1200,1,1
1202,0,0
1202,1,1
1204,0,0
1204,1,1
1206,0,0
1206,1,1
1208,0,0
1208,1,1
1210,0,0
1210,1,1
1212,0,0
1212,1,1
1214,0,0
1214,1,1
1216,0,0
1216,1,1
1218,0,0
1218,1,1
1220,0,0
1220,1,1
1222,0,0
1222,1,1
1224,0,0
1224,1,1
1226,0,0
1226,1,1
1228,0,0
1228,1,1
1230,0,0
1230,1,1
1232,0,0
1232,1,1
1234,0,0
1234,1,1
1236,0,0
1236,1,1
1238,0,0
1238,1,1
1240,0,0
1240,1,1
1242,0,0
1242,1,1
1244,0,0
1244,1,1
1246,0,0
1246,1,1
1248,0,0
1248,1,1
1250,0,0
1250,1,1
1252,0,0
1252,1,1
1254,0,0
1254,1,1
1256,0,0
1256,1,1
1258,0,0
1258,1,1
1260,0,0
1260,1,1
1262,0,0
1262,1,1
1264,0,0
1264,1,1
1266,0,0
1266,1,1
1268,0,0
1268,1,1
1270,0,0
1270,1,1
1272,0,0
1272,1,1
1274,0,0
1274,1,1
1276,0,0
1276,1,1
1278,0,0
1278,1,1
1280,0,0
1280,1,1
1282,0,0
1282,1,1
1284,0,0
1284,1,1
1286,0,0
1286,1,1
1288,0,0
1288,1,1
1290,0,0
1290,1,1
1292,0,0
1292,1,1
1294,0,0
1294,1,1
1296,0,0
1296,1,1
1298,0,0
1298,1,1
1300,0,0
1300,1,1
1302,0,0
1302,1,1
1304,0,0
1304,1,1
1306,0,0
1306,1,1
1308,0,0
1308,1,1
1310,0,0
1310,1,1
1312,0,0
1312,1,1
1314,0,0
1314,1,1
1316,0,0
1316,1,1
1318,0,0
1318,1,1
1320,0,0
1320,1,1
1322,0,0
1322,1,1
1324,0,0
1324,1,1
1326,0,0
1326,1,1
1328,0,0
1328,1,1
1330,0,0
1330,1,1
1332,0,0
1332,1,1
1334,0,0
1334,1,1
1336,0,0
1336,1,1
1338,0,0
1338,1,1
1340,0,0
1340,1,1
1342,0,0
1342,1,1
1344,0,0
1344,1,1
1346,0,0
1346,1,1
1348,0,0
1348,1,1
1350,0,0
1350,1,1
1352,0,0
1352,1,1
1354,0,0
1354,1,1
1356,0,0
1356,1,1
1358,0,0
1358,1,1
1360,0,0
1360,1,1
1362,0,0
1362,1,1
1364,0,0
1364,1,1
1366,0,0
1366,1,1
1368,0,0
1368,1,1
1370,0,0
1370,1,1
1372,0,0
1372,1,1
1374,0,0
1374,1,1
1376,0,0
1376,1,1
1378,0,0
1378,1,1
1380,0,0
1380,1,1
1382,0,0
1382,1,1
1384,0,0
1384,1,1
1386,0,0
1386,1,1
1388,0,0
1388,1,1
1390,0,0
1390,1,1
1392,0,0
1392,1,1
1394,0,0
1394,1,1
1396,0,0
1396,1,1
1398,0,0
1398,1,1
1400,0,0
1400,1,1
1402,0,0
1402,1,1
1404,0,0
1404,1,1
1406,0,0
1406,1,1
1408,0,0
1408,1,1
1410,0,0
1410,1,1
1412,0,0
1412,1,1
1414,0,0
1414,1,1
1416,0,0
1416,1,1
1418,0,0
1418,1,1
1420,0,0
1420,1,1
1422,0,0
1422,1,1
1424,0,0
1424,1,1
1426,0,0
1426,1,1
1428,0,0
1428,1,1
1430,0,0
1430,1,1
1432,0,0
1432,1,1
1434,0,0
1434,1,1
1436,0,0
1436,1,1
1438,0,0
1438,1,1
1440,0,0
1440,1,1
1442,0,0
1442,1,1
1444,0,0
1444,1,1
1446,0,0
1446,1,1
1448,0,0
1448,1,1
1450,0,0
1450,1,1
1452,0,0
1452,1,1
1454,0,0
1454,1,1
1456,0,0
1456,1,1
1458,0,0
1458,1,1
1460,0,0
1460,1,1
1462,0,0
1462,1,1
1464,0,0
1464,1,1
1466,0,0
1466,1,1
1468,0,0
1468,1,1
1470,0,0
1470,1,1
1472,0,0
1472,1,1
1474,0,0
1474,1,1
1476,0,0
1476,1,1
1478,0,0
1478,1,1
1480,0,0
1480,1,1
1482,0,0
1482,1,1
1484,0,0
1484,1,1
1486,0,0
1486,1,1
1488,0,0
1488,1,1
1490,0,0
1490,1,1
1492,0,0
1492,1,1
1494,0,0
1494,1,1
1496,0,0
1496,1,1
1498,0,0
1498,1,1
1500,0,0
1500,1,1
1502,0,0
1502,1,1
1504,0,0
1504,1,1
1506,0,0
1506,1,1
1508,0,0
1508,1,1
1510,0,0
1510,1,1
1512,0,0
1512,1,1
1514,0,0
1514,1,1
1516,0,0
1516,1,1
1518,0,0
1518,1,1
1520,0,0
1520,1,1
1522,0,0
1522,1,1
1524,0,0
1524,1,1
1526,0,0
1526,1,1
1528,0,0
1528,1,1
1530,0,0
1530,1,1
1532,0,0
1532,1,1
1534,0,0
1534,1,1
1536,0,0
1536,1,1
1538,0,0
1538,1,1
1540,0,0
1540,1,1
1542,0,0
1542,1,1
1544,0,0
1544,1,1
1546,0,0
1546,1,1
1548,0,0
1548,1,1
